Worker ID,I will vote in the 2016 Presidential election.,I would sign a petition for a {{affiliation}} political cause.,I would donate money to a {{affiliation}} cause or political candidate.,I would like to work with other {{affiliation}}s to further our shared interests.,In the future I plan to be active in {{affiliation}} political causes.,Compared to {{other_affiliation}}s| I am confident that {{affiliation}}s have a large amount of political influence.,I identify with other {{affiliation}}s.,Being a {{affiliation}} is an important part of who I am.,I consider myself to be a {{affiliation}}.,{{cap_affiliation}}s are a group that sticks together.,I feel like {{affiliation}}s have a common vision for this country.,I feel {{affiliation}}s in this country can achieve their political goals.,{{cap_affiliation}}s are an effective force in American politics.,I believe that {{affiliation}}s will succeed at almost any endeavor they set their mind to.,Interested,Irritable,Distressed,Excited,Ashamed,Upset,Inspired,Guilty,Determined,Scared,Attentive,Hostile,Enthusiastic,Active,Proud,Afraid,Happy,United,Please describe your experience interacting with the other participants in the study. What did you think about them? What was it like interacting with them? (Please write 2-3 sentences),What did you think about while taking part in the study? (Please write 2-3 sentences),Suspicions,Comments,Survey,Studies,Adequately Debriefed?
A2T893QOA0QILP,6,3,1,5,3,3,5,3,5,4,2,3,3,3,3,1,1,2,1,1,3,1,4,1,5,1,2,4,3,1,3,2,I thought interacting with the other people was interesting.  I felt like we agreed on most issues but it was interesting to see some other conservatives opinions on issues.   ,I thought that the study was well made and had an interesting layout.  I hope that I provided some interesting data to the research.,I didn't notice anything strange.  I thought it might be about seeing if people's views changed when they know the views of other people.,none,I think the questions were about my political opinions on certain issues.,700,TRUE
A149ROBL26JWPJ,5,4,3,4,4,5,5,4,6,4,5,5,6,4,3,2,1,2,2,2,3,2,3,1,3,2,2,3,3,1,3,3,I thought it was OK| I didn't have much an impression of them. It was annoying sometimes that they didn't move faster. I didn't really think about their individual characteristics too much.,I thought about some of the beliefs that others were expressing. Sometimes| their beliefs surprised me. I didn't think that some of their beliefs were consistent.,No such thoughts/comments.,No| thanks.,I do not exactly recall| but I know they had to do with politics. They also might have had something to do with group unity or identity.,25,TRUE
ABUXM7VAW5SKJ,6,3,2,4,4,5,6,6,7,7,6,7,6,6,4,2,1,2,1,1,3,1,4,1,4,1,3,3,3,1,4,4,It was very interesting too see what others chose on the issues. I thought we were all capable and mostly united in our decisions. It was great to see common ground on most issues.,I really liked the issues that were chosen for participants. When I answered the issues| I took what others chose in consideration. This study seemed like a great forum to decide on issues.,I thought the researchers were trying to determine how similar views on issues are among people with similar political ideals. No| I did not notice anything strange.,Thank you! I enjoyed the study with no problems.,The questions were about how the decisions of others affected my emotions. They also displayed how I felt about the other participants during the study.,15,TRUE
42136,7,6,6,7,7,5,7,7,7,6,5,6,6,6,5,1,1,5,1,1,5,1,5,1,5,1,5,5,5,1,5,4,I enjoyed it.  It was interesting to see what other people had to say.,I did not want anyone waiting on me.  I read the question as soon as it came up.,Our different political views.,It was fun.,Political point of views,1,TRUE
44404,1,1,1,7,1,2,6,7,7,7,7,7,6,6,5,1,1,5,1,1,5,1,5,1,5,1,5,5,5,1,5,5,I really enjoyed participating in this project.  I would like to do more of these online panels in the future.,I was reminded of being in a classroom setting.  It was like participating in a political debate with my peers.,I believe the study centered on how conservatives disagree and agree on certain issues.,Thank you for giving me the opportunity to participate in this study.,N/A,N/A,TRUE
A2RRC5B4M80XXO,7,6,6,7,6,7,7,7,7,6,6,7,7,7,5,1,1,4,1,1,3,1,5,1,5,1,5,3,5,1,5,5,I was great! I enjoyed being able to interact with other conservative Mturkers. It is interesting to know how close fellow conservatives are on the issues that this country is facing.,How We better get a republican president this year or this country will be sailed down the river| rights and civil liberties will be taken away by the likes of people like Hillary Clinton.,Perceptions of people who are conservative. i did not notice anything strange.,None,Don't remember for sure. they were about how liberal or conservative my ideals were on different topics.,3000,TRUE
A375OH1S7FO7L8,7,4,2,4,5,3,6,4,6,3,6,5,3,6,4,1,1,1,1,1,2,1,4,1,5,1,4,4,2,1,4,2,Player B was a bit sluggish. Was not really surprised boy anyone's answers as we were all supposedly conservatives. It really didn't feel like interaction between humans but it was.,I was thinking about being on top of the situation| answering promptly and not making my fellow turkers wait for my reply (like Player B did).,I thought the study was to engage and measure conservatives. Observing everyone's collection opinions on various current topics?,Obviously Obama care is not very popular! Thanks for letting me participate. It was fun.,Was it something with questions asking my political attitudes on various topics| such as health care| immigration| etc? I really don't remember too well| but I do enjoy taking studies with political questions.,102,TRUE
A3EPDU2O2JMR50,4,6,4,4,2,2,6,6,6,5,5,3,3,3,5,1,1,1,1,1,1,1,2,1,5,1,1,3,1,1,1,2,I enjoyed it and thought it interesting to see how each people felt about each issue.  As the questions went along I felt like I got another piece of the puzzle to get a more clear picture of who that person is.,I was thinking about my own beliefs and answering honestly.  I was thinking about the other participants answers and trying to get an idea of what that person is like. ,I think the study was not only trying to see how each individual felt about political issues| but also trying to see if people would answer the questions about issues similar to the other participants.  For example if three people said strongly oppose an issue you might expect there to be a high correlation with the 4th person answering strongly oppose or somewhat near that.,Thank you for offering this study.  It was enjoyable!,Questions about my positions on political issues.  Questions about how I view myself and certain personality traits that I'm currently feeling.,50,TRUE
A9HQ3E0F2AGVO,5,5,2,4,5,2,5,5,6,4,4,5,5,4,4,2,1,3,1,1,2,2,4,2,4,1,3,4,5,2,2,2,I was surprised that our answers didn't correlate more. It was frustrating waiting on slower players.,Interesting experience. I wish there wasn't as much waiting| but I understand its somewhat necessary.,Whether we change our answers based on others' responses.,,It's been a few days| so I honestly don't remember. I'm assuming they were political in nature and also about myself| maybe how easily I am influenced.,I've completed over 100 HITs| but not all were research studies. Maybe 50?,TRUE
A15781PHGW377Y,7,5,4,5,4,6,5,6,6,5,5,6,6,3,4,2,1,3,1,1,3,2,4,2,4,1,2,4,2,2,2,3,I wondered if all the answers were predictable| I knew mine wouldn't be. I found in a few cases they were and in a few they weren't predictable. for most anything| the correct answer is probably somewhere in the middle| it's a case by case basis. maybe the true believer never changes their position and only wants what they want| for everyone else we have to take the good with the bad in the interest of progress,a little bit on the process| was a little hard to get any sense of who each other person was when the order of the answers keep changing. the numbers and the checkboxes didn't line up even zoomed out which made it difficult for no reason except poor testing and bad formatting. on average we all know how most people who identify with each group is going to answer so what are we going to learn?,could you predict on average how people would choose when confronted with others who are likely to choose in somewhat predictable ways or would they moderate their choices?,you mention maximizing the browser if the questions don't appear| actually| zooming is also important if maximizing the browser doesn't solve the problem. tiny text is the result of zooming out and it didn't really solve the format problem of too much space between elements I guess a larger screen would hide the problem for most people.||,since it was a week ago| i can't say absolutely which questions were or weren't included.  the questions were about the same things asked about in the interactive portion: gun control restrictions| immigration policy and citizenship| legalizing marijuana| extreme debriefing measures and others related to how I view the world and my attitudes on life,30,TRUE
